Company,Website,Category,City,Alumni in the company?
Roomer,https://www.roomertravel.com/,Startup,Israel,No
Roundforest,https://www.roundforest.com/,Startup,Israel,No
Seeking Alpha,https://seekingalpha.com/,Startup,Israel,No
Yotpo,http://yotpo.com,Startup,Israel,No
Altoros,https://www.altoros.com/,Company,Cordoba,No
Hexacta,https://www.hexacta.com/,Company,Buenos Aires,No
Wolox,https://www.wolox.com.ar/,Company,Buenos Aires,No
Unitech,http://unitech.com.ar/,Company,Buenos Aires,No
Amalgama,https://theamalgama.com/index,Company,Buenos Aires,No
SoftVision,https://www.softvision.com/,Company,Buenos Aires,No
Red Mint,http://redmintlabs.com/,Company,Buenos Aires,No
Ombu Labs,https://www.ombulabs.com/,Company,Buenos Aires,No
Chronogolf, https://www.chronogolf.ca, Product, Montréal, No
Lexop, https://lexop.com/, Company, Montréal, No
PetalMD, https://www.petalmd.com, Company, Quebec, No
SEMi Medical Solutions, http://www.semiweb.ca, Company, Montréal, No
